TP_LINGUA;NU_NOTA_MT;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_LC;NU_CORRETAS_MT;NU_CORRETAS_CH;NU_CORRETAS_CN;NU_CORRETAS_LC;TX_COERENCIA_MT;TX_COERENCIA_CH;TX_COERENCIA_CN;TX_COERENCIA_LC;CO_PROVA_MT;CO_PROVA_CH;CO_PROVA_CN;CO_PROVA_LC
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;565.3;546.0;421.1;498.8;14;22;9;19;110000000000000111001010001000100110000001022;111011011101001010001010000001011111011100002;001000000000000010001100001000000010111002222;101010010000001110010000001001110111100101010;1078.0;1056.0;1087.0;1066.0
1;416.0;388.6;490.7;357.8;5;7;12;11;000001010000010000000000001000000000000000022;000000000001010000101000000011000100000000002;100000000000000110000010011110000100101102222;010000010010000010011000110001000000100100000;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;404.9;427.3;398.1;400.2;11;10;11;11;001101010010001010010001000000100000000000022;000000010011000000000001111000001000010000002;000001100001000100000100111000000000000012222;100001100010000000000000011000110000100000101;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;435.3;461.0;467.5;466.7;10;12;8;16;010001010011010000010001000000000001000010022;010000101010001011101010000001000000001000002;000001000011000001010000000000100000001002222;001100010000001110000000011100011000100011011;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;456.8;539.8;458.7;488.2;10;16;10;17;000000101000010001100011000010001000000000122;110111100100000000100001010101010010100000002;011001100100000000001000000001100000001002222;000010001010001010010001101100101100010010110;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;536.0;528.7;396.8;551.4;14;19;7;22;000000101001000111000010001100000000010110122;010010110101001000111000010010010001001111102;110000000010000000100100000001000000100002222;001010011000100011010110011111101000111000101;1076.0;1055.0;1086.0;1065.0
1;695.0;603.6;481.4;589.0;20;27;13;29;110011010011001010100100011010101000000011022;101000111111011100011100101111011100001101012;110101010101000000000001001110000000100002222;110101111110110100000101011111111101000110111;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;462.7;476.2;466.5;488.3;11;12;8;15;000001010000010011000000000010100000010101022;011010010100010000001001110000010000000000102;000010000010000100111000000010000000000002222;000000001001100011010110001011000000010000111;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;343.0;498.2;493.8;527.0;7;16;11;22;000000100000010000001000000001100000000100122;000000100100000111011100000111001100001100012;010000100001000000101001100011000001000002222;111101101010110001001101011000001011001011000;1077.0;1058.0;1088.0;1067.0
1;625.4;559.2;476.0;607.3;17;21;11;28;011001110010010010000110000001110001000011022;010100101110001010111010010100111110000011002;001111000000001000000000110010000000010012222;011100111101111100011111000001110011110001111;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;383.1;458.5;386.5;479.7;6;15;6;17;000100011000000000100000010000000000000001022;000001000110010010000001111010000100001001112;001101000000001000000000000010010000000002222;000010110101100001010011101000010100101100000;1076.0;1055.0;1086.0;1065.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;573.4;518.2;414.6;596.5;11;19;7;29;010000101000000011110010010000010010000000022;101010000001011011000011010011101100110000012;010100010000000000010000100000100000000002222;000001011111101011001111111111111011111000100;1076.0;1055.0;1086.0;1065.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;615.3;505.2;437.0;438.6;18;17;10;15;011000001001010001001111010001110000000011022;111000011011000010001100000000010010100100112;110000010100100001010000100000010000010002222;000001011001000000110001001100000000111110001;1078.0;1056.0;1087.0;1066.0
1;744.6;590.6;576.5;601.4;22;22;16;27;001000011110000101010011110101100100101110022;001111001100000001100001010111010111001110102;110000010101000000111010000011001001100002222;011100111010111010011110001010111001100011111;1076.0;1055.0;1086.0;1065.0
0;352.4;415.9;385.5;415.6;5;12;5;11;000000000010000000000000100000011000000000022;000000010011001111100100100100000000000000002;000110000000000000000000000000010100100002222;011000000010000000001110000010011000010010000;1075.0;1057.0;1085.0;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;536.3;422.0;495.0;600.1;16;11;9;27;100100010010100101100011000010001010001011022;000011000100001011100000000010010100010000002;010000000100010010001001000010000001100002222;001011101111011011111111000111010101110000100;1075.0;1057.0;1085.0;1068.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;446.4;477.8;466.9;360.9;9;13;12;9;010000001000000110011001001000000000000001022;100000011001000100010000000000000010011001112;000000000001011100000010000011010000001102222;001000000011000010000000010110010000000001000;1075.0;1057.0;1085.0;1068.0
0;474.7;555.4;504.7;572.9;8;21;13;25;100000000000001000011100010000000000011000022;100000011010001111100010001011110001001101012;000010000000110010101010000100000000100102222;010110100111011001111111000001110010111100100;1075.0;1057.0;1085.0;1068.0
1;408.5;458.6;386.0;406.1;12;14;10;11;010110000001000001100010000001001000000001022;010000010100000011110000001000100010010010012;010010000000000010000010100000100000000112222;000100000010000000000000010101010011000100011;1075.0;1057.0;1085.0;1068.0
1;568.4;546.6;436.1;496.4;12;22;9;17;100000001110000001010010000000000001010101122;000111101000010101101101110011110101010000102;000000000111100010101000000001000000001002222;001000000100001010111111011100001000101000100;1076.0;1055.0;1086.0;1065.0
1;430.4;420.0;436.7;512.6;9;13;8;17;100010000000000000000100001000110010010001022;010000000101101000000000011000100010110100002;010000001001001100000011000000000000000002222;001011000111000000110111010011100000000000110;1075.0;1057.0;1085.0;1068.0
1;460.6;465.3;402.1;346.3;6;13;6;8;001001000000000010000010000100000000000001022;001000111000001000001001110010100001000100002;100000000001000000000001001000000010000002222;001000000110001000010000000000000000001000011;1077.0;1058.0;1088.0;1067.0
1;496.6;340.6;470.2;492.3;12;5;11;16;110100001011010110010000000000000000000001022;000000000000000011100000001000000100000000002;010001100000000100000000011011100000000102222;000010011100101101000001001000110100110000100;1078.0;1056.0;1087.0;1066.0
1;441.4;537.7;390.1;442.7;16;16;10;10;100101001001100001100000100001111100001000122;100001001000111000100000101010001010000101102;001000000000000011000000001001010000100102222;000001000010001000010101010010000000100000100;1075.0;1057.0;1085.0;1068.0
1;nan;547.0;nan;571.6;0;19;0;24;;110000101010001000101010001001001011110110002;;001100011101111100011001010000110100101111110;nan;1056.0;nan;1066.0
1;526.6;523.8;462.7;509.1;10;16;13;17;000011000000000110000010001011000110000000022;000001111111010010010000001010000010100101002;110110000000100000000001001100100100100102222;101001101000101011001101000010000001001010001;1077.0;1058.0;1088.0;1067.0
0;488.0;520.2;522.2;532.8;12;15;12;20;010000001110000110010001000110000001000000022;000000101110001101000010001010001010100010002;011001000000000000000011100000100111000002222;011110011001000110000000100000110111111100100;1078.0;1056.0;1087.0;1066.0
1;542.5;553.2;518.1;549.8;14;20;13;22;010000110000010110001100100000011001011000022;110000010010011000101010000010011010011111102;000000001001101110110110010000000000100002222;011101010110111001111111010000100001000000011;1075.0;1057.0;1085.0;1068.0
0;593.2;618.7;542.3;576.2;13;27;14;26;001001010000010100010000001110010010000001022;111110011111000000110111011110000110101011012;000010011000000110010010100111000101100002222;010111001000011011001001011110101111011101110;1077.0;1058.0;1088.0;1067.0
1;405.9;379.5;400.1;383.1;7;9;9;12;001000010000111000000000000000100100000000022;010000000000000111000110000000000000001011002;001100100010000000000000001000001101010002222;000001001000001111111000001010000000001000000;1075.0;1057.0;1085.0;1068.0
0;603.7;642.6;539.7;648.6;12;30;13;33;001000110000010011010010100000000000111000022;100010100110111111101111110010011011011011112;011011000000100100000001011100000000111002222;001101111111011001111111101111101101111010110;1075.0;1057.0;1085.0;1068.0
1;nan;504.0;nan;373.7;0;15;0;10;;000011011000010001100101100000010001010110002;;101010000000001010011001000000001000000000001;nan;1055.0;nan;1065.0
1;572.6;340.1;498.5;364.4;14;9;12;11;001000011000010001001000011101011110000000022;000001010100100100001000100000000010000001002;000101100111100000110000000000010000000002222;001011001001000000100000000101001001100000000;1076.0;1055.0;1086.0;1065.0
1;483.0;461.9;554.9;482.4;12;12;15;14;010100000100000001000010010110100000001011022;000001001010101000100101010100100000000000002;010010010010000010101100000001100010011102222;011000000000100010010010100111101000100000100;1076.0;1055.0;1086.0;1065.0
0;414.4;378.5;411.1;373.1;7;10;11;9;001000000000000100000000001000000011110000022;000000010000010000100010010011100000000100012;110000000000000111010000001100100100000002222;000000000100000011010100000000000000010110010;1077.0;1058.0;1088.0;1067.0
0;905.5;684.9;819.5;657.8;36;35;38;33;111111011111011011111111000111111111100101122;111111011111011111101011000111110111110111102;110110111111011101111111001110111111111112222;010110001011011011111101111111111111110001111;1076.0;1055.0;1086.0;1065.0
1;393.0;503.9;420.6;546.5;7;14;9;21;000000001000001000000000100010100001000001022;100000011110000000001000001110100000111001002;100000000000000000000001101010110000001002222;011101101110001011001001011010001001100001010;1077.0;1058.0;1088.0;1067.0
0;551.9;579.2;442.4;582.7;12;24;11;25;100001000100010001100000000000001000011011022;100000001111001011101101101001111010001001112;111000001001000000010101000010100000000002222;001111100111011001111111000001010010100110110;1075.0;1057.0;1085.0;1068.0
1;500.4;476.1;380.5;412.4;8;12;9;10;010000001010000000000000000000000001001011022;111000001000000000101010010100010010010000002;000000111000101010000000000000000001010002222;001000010000100000000010000000100110001100001;1078.0;1056.0;1087.0;1066.0
1;433.6;485.9;461.4;448.9;11;13;10;14;001001000010000010001100100001010000001000022;010000010000001010000001000001100010010001112;000001000011101000001000000100110000000002222;010011000111010100100000001110000000001000100;1075.0;1057.0;1085.0;1068.0
1;506.2;462.8;458.9;458.9;11;13;16;14;000000000010001100110000010000001100000001022;100000100100010000010100000100110010001110002;010110111110110001100010010010001000000002222;011000010010101100010000000000110000000110101;1078.0;1056.0;1087.0;1066.0
1;nan;429.2;nan;337.4;0;8;0;5;;000100010000011000000000001000000000100001002;;000000000100000000011000000000100000100000000;nan;1057.0;nan;1068.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
